[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2637
[223_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[224_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[225_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[226_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[227_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[228_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[229_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[230_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[231_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[Done] Final makespan: 18
