[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2534
[166_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0281
[167_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
[168_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[169_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[170_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0284
[171_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[172_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[173_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
[174_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[175_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
[176_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[177_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[178_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0284
[179_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[180_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[181_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0311
[182_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0305
[183_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[184_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[185_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[186_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0294
[187_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0296
[188_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[189_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
[190_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[191_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[192_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[193_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[194_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[195_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[196_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[197_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[198_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
[199_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[200_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
